EmployeeID,Age,Gender,Department,JobRole,EducationField,BusinessTravel,MaritalStatus,MonthlyIncome,OverTime,JobSatisfaction,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,TrainingTimesLastYear,PerformanceRating,Attrition
85,51,Male,Research & Development,Research Scientist,Other,Travel_Frequently,Divorced,3634,Yes,4,2,18,0,3,4,No
86,24,Female,Sales,Sales Representative,Life Sciences,Non-Travel,Single,15580,Yes,2,2,2,2,3,3,No
87,41,Female,Research & Development,Laboratory Technician,Technical Degree,Travel_Frequently,Divorced,5168,Yes,1,2,20,5,1,4,No
88,26,Male,Research & Development,Research Scientist,Marketing,Travel_Rarely,Single,5578,Yes,3,1,8,1,2,4,No
89,48,Male,Sales,Sales Representative,Medical,Travel_Rarely,Single,12035,No,3,4,13,6,2,4,No
90,57,Female,Human Resources,Human Resources,Marketing,Travel_Rarely,Married,15198,No,3,1,11,8,3,4,No
91,40,Male,Human Resources,Human Resources,Other,Travel_Frequently,Single,7666,No,1,4,10,8,3,3,No
92,42,Male,Human Resources,Human Resources,Medical,Travel_Frequently,Single,16274,Yes,3,2,3,2,1,4,No
93,19,Female,Human Resources,Human Resources,Life Sciences,Travel_Rarely,Single,11294,No,3,2,8,6,4,4,Yes
94,20,Female,Sales,Sales Representative,Technical Degree,Travel_Rarely,Married,10459,Yes,4,3,15,4,3,3,No
95,36,Male,Sales,Sales Executive,Other,Travel_Frequently,Divorced,15823,No,4,2,9,0,1,3,No
96,26,Male,Research & Development,Laboratory Technician,Life Sciences,Travel_Rarely,Single,3806,No,3,3,18,2,5,3,No
97,24,Female,Human Resources,Human Resources,Other,Non-Travel,Single,9559,No,2,4,15,0,1,4,No
98,20,Male,Sales,Sales Representative,Other,Non-Travel,Married,8392,No,1,1,17,3,2,3,No
99,41,Female,Research & Development,Laboratory Technician,Marketing,Travel_Rarely,Married,19208,Yes,2,4,10,8,2,3,No
100,25,Male,Sales,Sales Executive,Marketing,Travel_Frequently,Divorced,9525,Yes,1,2,12,2,3,3,No
101,22,Male,Research & Development,Laboratory Technician,Medical,Non-Travel,Single,16918,No,2,4,16,5,3,3,No
102,58,Female,Human Resources,Human Resources,Marketing,Travel_Frequently,Married,15107,No,3,1,12,0,0,3,Yes
103,45,Female,Human Resources,Human Resources,Medical,Travel_Rarely,Married,19827,No,4,2,17,6,6,3,No
104,25,Female,Human Resources,Human Resources,Life Sciences,Travel_Frequently,Single,10697,Yes,1,2,9,3,6,3,Yes
105,50,Male,Sales,Sales Representative,Medical,Travel_Rarely,Married,10141,Yes,4,4,13,7,0,3,No
106,51,Female,Human Resources,Human Resources,Technical Degree,Non-Travel,Married,2576,No,1,1,15,3,1,3,No
107,18,Female,Sales,Manager,Medical,Non-Travel,Married,19560,No,2,1,2,0,5,4,No
108,22,Male,Research & Development,Laboratory Technician,Technical Degree,Travel_Rarely,Single,14701,Yes,2,4,2,1,4,4,No
109,41,Male,Human Resources,Human Resources,Life Sciences,Travel_Frequently,Single,11794,Yes,3,3,3,3,5,4,No
110,35,Female,Research & Development,Research Scientist,Medical,Travel_Rarely,Single,9418,Yes,4,1,8,1,1,4,No
111,48,Male,Sales,Sales Executive,Technical Degree,Travel_Frequently,Married,12307,Yes,2,1,15,4,4,3,No
112,59,Female,Research & Development,Laboratory Technician,Life Sciences,Travel_Frequently,Married,8810,No,2,3,17,6,1,3,No
113,60,Male,Research & Development,Research Scientist,Life Sciences,Travel_Rarely,Single,7544,No,2,1,13,3,3,3,No
114,49,Female,Research & Development,Laboratory Technician,Other,Non-Travel,Married,11331,No,1,2,12,10,5,4,No
115,59,Male,Sales,Sales Representative,Life Sciences,Travel_Frequently,Married,14606,No,2,1,16,5,3,4,No
116,38,Male,Research & Development,Research Scientist,Other,Travel_Frequently,Married,4706,Yes,3,2,12,6,3,4,No
117,55,Male,Sales,Sales Representative,Marketing,Non-Travel,Single,7195,No,3,1,20,4,4,4,No
118,59,Female,Research & Development,Laboratory Technician,Medical,Travel_Rarely,Married,17468,No,4,3,19,10,3,4,No
119,52,Female,Human Resources,Human Resources,Medical,Travel_Rarely,Divorced,5768,No,3,1,13,7,0,3,No
120,19,Female,Research & Development,Research Scientist,Marketing,Non-Travel,Married,9402,Yes,4,3,17,10,5,3,No
121,58,Female,Human Resources,Human Resources,Marketing,Travel_Frequently,Single,10531,No,2,3,13,0,5,4,No
122,50,Female,Human Resources,Human Resources,Other,Non-Travel,Married,15019,Yes,1,2,13,5,1,3,No
123,22,Male,Research & Development,Laboratory Technician,Medical,Travel_Rarely,Married,17171,No,3,2,16,7,4,3,No
124,57,Female,Sales,Sales Executive,Technical Degree,Non-Travel,Single,4314,Yes,2,2,17,9,4,3,No
125,58,Male,Sales,Manager,Medical,Travel_Frequently,Married,19444,Yes,1,1,2,2,4,4,No
126,39,Male,Human Resources,Human Resources,Technical Degree,Non-Travel,Divorced,7245,No,2,2,3,3,6,4,No
127,22,Male,Human Resources,Human Resources,Life Sciences,Non-Travel,Single,11218,Yes,3,1,13,8,1,4,No
128,53,Male,Sales,Manager,Marketing,Travel_Frequently,Single,8791,Yes,3,4,17,0,6,3,No
129,58,Male,Sales,Sales Representative,Medical,Travel_Rarely,Married,14501,Yes,3,4,14,4,1,3,No
130,32,Male,Human Resources,Human Resources,Life Sciences,Travel_Frequently,Divorced,10688,No,3,2,6,2,2,4,No
131,27,Female,Human Resources,Human Resources,Life Sciences,Non-Travel,Divorced,8002,No,1,1,3,2,5,4,No
132,31,Female,Research & Development,Research Scientist,Medical,Travel_Frequently,Married,3863,Yes,3,1,16,3,6,3,No
133,52,Male,Research & Development,Laboratory Technician,Life Sciences,Travel_Frequently,Divorced,5497,No,1,2,5,3,1,3,No
134,34,Female,Research & Development,Laboratory Technician,Medical,Travel_Rarely,Single,9566,No,4,3,17,9,6,4,No
135,58,Male,Human Resources,Human Resources,Technical Degree,Travel_Frequently,Married,8749,Yes,3,2,9,9,6,4,No
136,35,Female,Sales,Sales Executive,Marketing,Travel_Frequently,Married,19478,Yes,3,3,18,10,6,3,No
137,50,Male,Sales,Sales Representative,Medical,Non-Travel,Single,3855,No,1,4,11,3,3,3,No
138,29,Female,Sales,Manager,Medical,Travel_Rarely,Married,12600,Yes,1,2,15,10,3,3,No
139,19,Female,Human Resources,Human Resources,Medical,Travel_Frequently,Single,15279,No,4,3,16,1,4,3,No
140,56,Female,Sales,Manager,Marketing,Non-Travel,Divorced,8759,No,3,3,2,1,2,4,No
141,51,Male,Human Resources,Human Resources,Technical Degree,Travel_Rarely,Single,18336,No,1,1,5,0,6,3,No
142,38,Male,Sales,Sales Representative,Other,Travel_Frequently,Divorced,10221,Yes,2,3,2,0,0,3,No
143,24,Female,Research & Development,Laboratory Technician,Medical,Non-Travel,Single,13168,Yes,3,4,16,2,6,4,No
144,20,Male,Research & Development,Research Scientist,Other,Travel_Rarely,Married,15724,No,1,3,0,0,5,4,No
145,22,Male,Human Resources,Human Resources,Marketing,Non-Travel,Single,13663,No,3,4,19,3,0,3,No
146,24,Male,Sales,Sales Executive,Life Sciences,Non-Travel,Divorced,18101,No,3,1,12,0,5,3,No
147,58,Female,Research & Development,Laboratory Technician,Life Sciences,Travel_Rarely,Married,12500,Yes,2,2,19,7,5,3,Yes
148,53,Female,Sales,Manager,Technical Degree,Travel_Frequently,Divorced,11430,No,3,3,14,4,3,3,No
149,21,Male,Human Resources,Human Resources,Medical,Non-Travel,Single,3862,Yes,3,1,17,2,4,4,No
150,27,Female,Sales,Sales Representative,Marketing,Non-Travel,Single,6074,Yes,2,2,18,1,0,3,No
151,45,Male,Human Resources,Human Resources,Medical,Non-Travel,Divorced,11247,No,2,2,12,6,4,4,No
152,47,Male,Sales,Sales Representative,Other,Travel_Rarely,Single,8196,Yes,1,3,11,5,3,3,Yes
153,52,Male,Sales,Sales Representative,Other,Travel_Frequently,Single,16864,Yes,1,1,5,3,5,4,No
154,29,Male,Human Resources,Human Resources,Marketing,Non-Travel,Divorced,11422,Yes,1,4,16,2,1,3,No
155,30,Female,Sales,Manager,Technical Degree,Travel_Rarely,Single,17382,Yes,4,3,17,2,4,4,No
156,45,Male,Human Resources,Human Resources,Life Sciences,Non-Travel,Single,18228,Yes,2,3,4,0,3,3,Yes
157,29,Male,Sales,Sales Representative,Marketing,Travel_Frequently,Divorced,6766,No,3,4,7,7,5,3,No
158,56,Female,Research & Development,Laboratory Technician,Medical,Travel_Frequently,Divorced,9083,Yes,2,4,16,4,6,3,No
159,28,Female,Sales,Manager,Other,Travel_Rarely,Single,7280,No,3,3,14,10,1,4,No
160,60,Male,Human Resources,Human Resources,Other,Travel_Rarely,Married,14911,Yes,3,4,12,7,2,4,No
161,26,Male,Human Resources,Human Resources,Other,Non-Travel,Single,5895,Yes,3,4,15,3,0,3,No
162,35,Male,Human Resources,Human Resources,Marketing,Non-Travel,Single,19614,No,3,2,3,2,4,3,Yes
163,23,Male,Research & Development,Research Scientist,Life Sciences,Travel_Rarely,Married,4646,No,2,3,17,4,0,4,No
164,20,Male,Sales,Sales Executive,Medical,Non-Travel,Married,19442,No,1,3,18,0,2,4,No
165,51,Female,Human Resources,Human Resources,Technical Degree,Travel_Frequently,Married,5989,No,2,1,5,0,3,3,Yes
166,53,Female,Research & Development,Research Scientist,Technical Degree,Travel_Rarely,Married,19693,Yes,1,3,18,3,2,3,No
167,34,Male,Research & Development,Laboratory Technician,Life Sciences,Travel_Rarely,Divorced,4856,Yes,3,1,18,7,0,3,No
168,32,Female,Human Resources,Human Resources,Medical,Travel_Frequently,Divorced,18417,Yes,1,4,15,6,3,3,No
169,19,Female,Research & Development,Research Scientist,Technical Degree,Travel_Rarely,Married,12752,No,1,2,5,3,2,3,No
170,32,Male,Sales,Sales Representative,Medical,Non-Travel,Divorced,5300,No,2,3,5,4,0,3,No
171,50,Female,Sales,Sales Representative,Other,Travel_Frequently,Single,19793,Yes,1,4,6,2,3,3,No
172,21,Female,Research & Development,Laboratory Technician,Medical,Travel_Frequently,Married,3221,No,1,2,7,4,0,4,No
173,18,Male,Sales,Manager,Medical,Non-Travel,Divorced,12304,No,4,1,10,1,2,4,No
174,19,Female,Research & Development,Laboratory Technician,Technical Degree,Travel_Frequently,Married,10276,No,4,2,1,1,4,4,No
175,25,Male,Human Resources,Human Resources,Life Sciences,Non-Travel,Single,13500,No,1,4,13,9,5,4,No
176,33,Female,Sales,Sales Representative,Other,Travel_Rarely,Divorced,17501,No,2,2,18,3,4,4,No
177,19,Female,Human Resources,Human Resources,Life Sciences,Travel_Frequently,Divorced,12590,Yes,1,3,18,5,6,3,No
178,47,Male,Research & Development,Laboratory Technician,Life Sciences,Non-Travel,Single,8279,Yes,2,4,18,2,5,3,No
179,41,Male,Sales,Sales Representative,Other,Travel_Frequently,Single,4514,Yes,2,1,5,1,3,4,No
180,51,Male,Research & Development,Laboratory Technician,Life Sciences,Travel_Rarely,Divorced,12434,No,3,3,5,5,5,4,No
181,54,Female,Human Resources,Human Resources,Medical,Non-Travel,Divorced,9525,No,1,1,19,7,5,4,No
182,57,Male,Sales,Manager,Medical,Non-Travel,Married,9646,Yes,2,2,6,4,3,4,No
183,52,Male,Research & Development,Research Scientist,Other,Travel_Frequently,Divorced,8168,Yes,4,4,19,9,4,3,No
184,49,Female,Research & Development,Laboratory Technician,Marketing,Travel_Rarely,Divorced,10257,Yes,3,2,7,0,0,3,No
185,23,Female,Sales,Sales Executive,Life Sciences,Travel_Rarely,Single,14265,No,2,1,19,2,2,4,No
186,42,Female,Research & Development,Research Scientist,Medical,Travel_Frequently,Divorced,11617,Yes,1,4,16,7,2,3,No
187,18,Female,Human Resources,Human Resources,Medical,Travel_Rarely,Divorced,17198,Yes,4,1,9,9,0,4,No
188,33,Male,Research & Development,Research Scientist,Technical Degree,Travel_Frequently,Single,3056,No,1,1,17,10,6,3,No
189,54,Female,Human Resources,Human Resources,Other,Travel_Rarely,Married,2891,No,3,3,15,9,6,3,No
190,52,Male,Sales,Manager,Marketing,Travel_Rarely,Single,12402,Yes,2,3,3,0,3,3,No
191,42,Male,Sales,Manager,Life Sciences,Travel_Rarely,Married,9186,No,2,1,14,2,1,4,No
192,20,Male,Human Resources,Human Resources,Life Sciences,Travel_Frequently,Divorced,2706,No,4,4,10,10,6,4,No
193,23,Female,Sales,Manager,Other,Non-Travel,Married,8964,No,4,4,7,5,0,3,No
194,46,Male,Research & Development,Laboratory Technician,Marketing,Travel_Frequently,Divorced,14570,Yes,3,3,6,0,0,4,No
195,39,Male,Sales,Sales Representative,Marketing,Travel_Rarely,Married,8817,No,3,1,16,2,1,4,No
196,44,Female,Research & Development,Research Scientist,Marketing,Travel_Rarely,Divorced,3899,No,1,2,4,1,5,4,No
197,57,Female,Research & Development,Laboratory Technician,Technical Degree,Non-Travel,Single,18748,No,1,2,6,1,0,4,No
198,52,Female,Sales,Sales Representative,Other,Travel_Rarely,Divorced,19554,No,3,2,1,0,2,4,No
199,56,Male,Research & Development,Laboratory Technician,Marketing,Non-Travel,Married,7216,Yes,4,4,19,3,2,4,No
200,39,Male,Sales,Manager,Technical Degree,Non-Travel,Married,11103,Yes,2,4,16,3,1,4,No
201,32,Female,Human Resources,Human Resources,Technical Degree,Travel_Frequently,Married,14925,No,2,1,18,3,1,4,No
202,39,Male,Research & Development,Laboratory Technician,Medical,Non-Travel,Married,12145,Yes,3,3,1,0,5,3,Yes
203,20,Female,Sales,Manager,Medical,Travel_Frequently,Single,4192,No,3,3,3,1,6,3,No
204,28,Male,Sales,Manager,Life Sciences,Non-Travel,Married,13606,Yes,2,2,19,4,0,3,No
205,25,Female,Research & Development,Laboratory Technician,Other,Travel_Rarely,Divorced,7502,No,4,2,4,2,6,4,No
206,45,Male,Sales,Manager,Life Sciences,Travel_Frequently,Single,12587,Yes,2,1,11,9,2,4,Yes
207,37,Male,Sales,Manager,Technical Degree,Non-Travel,Single,9767,No,2,1,4,1,4,4,No
208,28,Female,Sales,Manager,Life Sciences,Travel_Rarely,Single,9663,Yes,3,1,10,10,1,3,No
209,57,Male,Human Resources,Human Resources,Marketing,Travel_Frequently,Single,5117,No,4,3,6,2,3,3,No
210,60,Male,Research & Development,Research Scientist,Marketing,Travel_Frequently,Single,7892,Yes,4,4,9,6,2,3,No
211,40,Female,Sales,Sales Representative,Technical Degree,Travel_Frequently,Divorced,2586,Yes,1,2,12,4,1,3,No
212,40,Female,Research & Development,Research Scientist,Technical Degree,Travel_Frequently,Married,11664,Yes,2,1,2,2,1,3,No
213,42,Female,Sales,Sales Executive,Other,Non-Travel,Divorced,14373,No,4,4,3,3,4,4,No
214,44,Female,Human Resources,Human Resources,Medical,Travel_Frequently,Married,10176,Yes,4,2,9,0,2,3,No
215,43,Female,Sales,Manager,Other,Travel_Frequently,Divorced,6403,No,2,3,8,1,3,4,No
216,28,Male,Sales,Sales Representative,Marketing,Travel_Rarely,Single,15098,Yes,3,1,19,5,3,4,No
217,35,Female,Research & Development,Research Scientist,Technical Degree,Travel_Rarely,Divorced,18543,Yes,4,4,14,10,2,3,No
218,51,Male,Sales,Manager,Life Sciences,Non-Travel,Married,19604,Yes,3,1,7,5,3,4,No
219,33,Female,Research & Development,Laboratory Technician,Life Sciences,Travel_Frequently,Single,3036,No,3,3,18,1,5,3,No
220,49,Male,Sales,Sales Executive,Life Sciences,Non-Travel,Single,12309,Yes,3,2,18,1,3,3,No
221,18,Female,Human Resources,Human Resources,Medical,Non-Travel,Single,11891,Yes,1,2,4,3,4,3,No
222,32,Female,Research & Development,Research Scientist,Life Sciences,Travel_Frequently,Single,9816,No,1,4,10,5,3,3,No
223,56,Male,Sales,Sales Representative,Marketing,Non-Travel,Divorced,13581,Yes,4,3,10,5,4,3,No
224,53,Female,Research & Development,Research Scientist,Medical,Travel_Frequently,Single,11557,No,3,4,2,1,2,3,No
225,34,Female,Sales,Sales Executive,Other,Travel_Frequently,Single,6008,No,2,1,4,1,0,3,No
226,56,Male,Human Resources,Human Resources,Life Sciences,Non-Travel,Married,16873,Yes,2,2,15,7,1,4,No
227,25,Female,Human Resources,Human Resources,Medical,Travel_Frequently,Single,10983,No,2,2,10,10,3,4,No
228,45,Female,Human Resources,Human Resources,Marketing,Travel_Frequently,Divorced,11012,Yes,2,2,18,8,6,4,No
229,46,Female,Research & Development,Research Scientist,Medical,Travel_Frequently,Divorced,18841,Yes,4,4,4,0,5,3,No
230,60,Female,Human Resources,Human Resources,Life Sciences,Non-Travel,Married,7920,Yes,1,4,12,10,4,4,No
231,27,Male,Human Resources,Human Resources,Life Sciences,Non-Travel,Single,16118,Yes,4,3,0,0,3,4,No
232,40,Female,Research & Development,Laboratory Technician,Life Sciences,Non-Travel,Single,5499,No,2,3,19,6,1,4,No
233,25,Male,Research & Development,Laboratory Technician,Life Sciences,Travel_Frequently,Married,19993,Yes,1,4,0,0,1,4,No
234,47,Male,Research & Development,Research Scientist,Medical,Non-Travel,Single,7476,No,2,1,4,0,1,4,No
235,32,Female,Human Resources,Human Resources,Other,Travel_Frequently,Divorced,8820,Yes,4,4,5,5,2,3,Yes
236,27,Male,Research & Development,Research Scientist,Technical Degree,Travel_Frequently,Divorced,13369,No,4,4,3,3,2,3,No
237,42,Male,Human Resources,Human Resources,Medical,Travel_Rarely,Married,18918,Yes,4,1,1,1,2,3,No
238,34,Female,Research & Development,Laboratory Technician,Other,Travel_Rarely,Divorced,13276,Yes,3,2,8,7,5,3,No
239,40,Male,Human Resources,Human Resources,Medical,Non-Travel,Divorced,2566,No,3,2,5,2,1,3,No
240,39,Male,Sales,Sales Representative,Life Sciences,Travel_Frequently,Divorced,3365,No,3,2,6,5,5,4,No
241,60,Male,Human Resources,Human Resources,Technical Degree,Non-Travel,Divorced,16410,Yes,4,1,13,9,0,3,No
242,49,Female,Sales,Manager,Medical,Travel_Rarely,Single,18110,Yes,2,4,4,0,3,4,No
243,31,Male,Sales,Sales Representative,Other,Travel_Frequently,Divorced,9158,Yes,4,4,13,3,5,3,No
